GID_2,adm_id,GID_2,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12
CMR.1.1_1,1.0,CMR.1.1_1,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493,99.68223086900127,211301.19762549983,2012.940319608472,79.61571222494618,7168724.502002197,10353758.683649493
CMR.1.2_1,2.0,CMR.1.2_1,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345,99.78599061651165,17920.493259853978,2942.5830610545245,261.6482905728322,84899.6483556277,465932.82475620345
CMR.1.3_1,3.0,CMR.1.3_1,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706,99.1943605236657,141076.8995820588,4441.022628436762,33.346364345958555,9875227.5864125,11286151.966564706
CMR.1.4_1,4.0,CMR.1.4_1,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959,99.21612541993281,19729.53689475909,4793.748414262705,7.019507332836818,773831.5217363358,2624028.407002959
CMR.1.5_1,5.0,CMR.1.5_1,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317,99.15693904020752,19440.83801213155,3252.874628426099,48.38329791986142,630478.5775781599,3285501.6240502317
CMR.2.1_1,6.0,CMR.2.1_1,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675,97.41069463801071,16506.409346843528,3209.4783027282288,48.928110953368815,482142.5667389261,5826762.4994357675
CMR.2.2_1,7.0,CMR.2.2_1,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783,89.77142857142857,16874.971484435282,3435.3468306964337,55.80600383184196,1772033.9708780902,6041239.79142783
CMR.2.3_1,8.0,CMR.2.3_1,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785,96.10094637223976,10256.160220902215,3301.936093453553,31.25209717113815,578661.2641076411,3169153.508258785
CMR.2.4_1,9.0,CMR.2.4_1,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649,99.38334372027424,10297.344979535368,1910.6959206742008,18.626877942387704,165596.485143001,1935900.856152649
CMR.2.5_1,10.0,CMR.2.5_1,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529,88.62571577303488,12145.777437105926,2947.884004067983,47.71367932364743,481775.0285390175,5307704.74001529
