GID_2,adm_id,GID_2,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12
BEN.1.1_1,1.0,BEN.1.1_1,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995,96.35477582846005,13105.173181294114,4330.663583308873,31.68832546347591,195034.05642687046,2450667.3849019995
BEN.1.2_1,2.0,BEN.1.2_1,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344,98.82697947214076,10927.29573974021,3672.499491060777,22.97063033742184,71732.261170012,743056.1103023344
BEN.1.3_1,3.0,BEN.1.3_1,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602,97.68730426403276,8220.839261217292,3355.769474621897,43.01859704178771,122867.22488218868,789200.5690768602
BEN.1.4_1,4.0,BEN.1.4_1,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196,99.55299206921413,12242.83021581676,3149.6771964255013,170.33072927821712,75953.3734626721,379527.7366903196
BEN.1.5_1,5.0,BEN.1.5_1,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471,97.09511568123392,62481.89864308381,3059.045176999475,89.78823166082555,4516694.573396323,7060454.546668471
BEN.1.6_1,6.0,BEN.1.6_1,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878,98.72648902821315,21626.594693536583,3714.3060397091353,179.26873285233208,385777.20839282405,1405728.655079878
BEN.2.1_1,7.0,BEN.2.1_1,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301,99.85611510791368,3343.6804880566506,3343.6804880566506,106.00419435020036,6581.356781763101,6687.360976113301
BEN.2.2_1,8.0,BEN.2.2_1,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007,99.81834695731152,1190.15020493295,1190.15020493295,251.67838475877903,2128.6220251071213,2380.3004098659007
BEN.2.3_1,9.0,BEN.2.3_1,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716,98.32155477031802,7641.941892195678,2774.4681322589613,33.17376860598593,106776.77189261843,580787.5838068716
BEN.2.4_1,10.0,BEN.2.4_1,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086,98.49723174268392,20109.968729738746,3780.9591660708647,12.634794411051473,474697.5634044966,1146268.2175951086
