ADM2_id,ADM2,GID_old,sum_1,max_1,mean_1,sum_2,max_2,mean_2,sum_3,max_3,mean_3,sum_4,max_4,mean_4,sum_5,max_5,mean_5,sum_6,max_6,mean_6,sum_7,max_7,mean_7,sum_8,max_8,mean_8,sum_9,max_9,mean_9,sum_10,max_10,mean_10,sum_11,max_11,mean_11,sum_12,max_12,mean_12
1,Sotouboua,TGO.1.1_1,8629.6728515625,43.189998626709,0.239283606410027,15413.0634765625,68.9300003051758,0.427373498678207,9020.78515625,7.17999982833862,0.250128388404846,10984.4189453125,4.07000017166138,0.30457603931427,8251.3330078125,3.52999997138977,0.228793010115623,8627.5947265625,3.5699999332428,0.239225998520851,6269.18017578125,2.80999994277954,0.17383186519146,7965.97314453125,3.23000001907349,0.220880538225174,8223.9423828125,2.1800000667572,0.228033512830734,13175.927734375,4.42000007629395,0.365342199802399,13148.373046875,117.400001525879,0.364578157663345,17091.56640625,109.650001525879,0.473915040493011
2,Tchamba (Nyala),TGO.1.2_1,1480.04296875,98.9700012207031,0.0967785492539406,6415.42333984375,11.4499998092651,0.419498205184937,4394.849609375,5.6100001335144,0.287374883890152,4971.427734375,6.28000020980835,0.325076758861542,3765.90112304688,7.32000017166138,0.246248558163643,3764.04467773438,5.88000011444092,0.246127173304558,3286.70385742188,5.98999977111816,0.214914321899414,3823.68188476563,5.19999980926514,0.250026792287827,3250.45361328125,5.76999998092651,0.212543949484825,5339.818359375,6.1399998664856,0.349165469408035,4999.314453125,7.6100001335144,0.326900243759155,4978.46875,7.17000007629395,0.325537174940109
3,Tchaudjo,TGO.1.3_1,2905.94384765625,35.5200004577637,0.25687763094902,5005.154296875,7.8600001335144,0.442442208528519,3822.96850585938,7.98000001907349,0.337940156459808,4372.5830078125,11.5500001907349,0.386524617671967,3099.97705078125,9.0600004196167,0.274029642343521,3518.79028320313,5.8600001335144,0.311051607131958,3058.3271484375,12.4499998092651,0.27034792304039,3085.78955078125,7.51999998092651,0.272775530815125,2849.98754882813,8.1899995803833,0.251931250095367,4525.423828125,10.0699996948242,0.400035321712494,4442.7412109375,10.0500001907349,0.392726391553879,5030.8701171875,23.9799995422363,0.444715410470963
4,Assoli,TGO.2.1_1,1838.05725097656,17.0699996948242,0.391850262880325,1853.18395996094,5.61999988555908,0.395075082778931,1307.60571289063,2.29999995231628,0.27876478433609,1571.67529296875,5.07000017166138,0.3350610435009,1092.0458984375,3.52999997138977,0.232810199260712,1325.45520019531,3.58999991416931,0.282570064067841,969.182922363281,6.03999996185303,0.206617385149002,1069.28039550781,5.07999992370605,0.227956876158714,1110.49633789063,2.33999991416931,0.236743599176407,1709.88562011719,5.84999990463257,0.364525705575943,2109.34838867188,45.8800010681152,0.449686050415039,2468.59521484375,38.7000007629395,0.526272892951965
5,Bassar,TGO.2.2_1,5559.97998046875,24.2299995422363,0.195549994707108,10747.23046875,45.1399993896484,0.37799072265625,9285.8564453125,21.1299991607666,0.326592773199081,8286.423828125,5.80000019073486,0.291441738605499,6031.40478515625,7.42000007629395,0.212130472064018,8050.4521484375,4.84000015258789,0.283142358064651,4446.2958984375,5.61999988555908,0.156380623579025,7368.97412109375,6.19999980926514,0.259174108505249,6535.9052734375,5.25,0.22987425327301,9424.576171875,6.53999996185303,0.331471681594849,11343.1142578125,35.1599998474121,0.398948550224304,17356.51953125,173.789993286133,0.610445976257324
6,Bimah,TGO.2.3_1,311.035583496094,5.53999996185303,0.146617591381073,811.07080078125,11.3699998855591,0.38232684135437,705.693603515625,2.50999999046326,0.3326535820961,810.123107910156,4.44999980926514,0.381880104541779,605.219055175781,4.30999994277954,0.285291343927383,790.269897460938,3.40000009536743,0.372521579265594,440.598266601563,4.17000007629395,0.207691535353661,687.066772460938,3.49000000953674,0.323873162269592,566.512573242188,2.25999999046326,0.267045676708221,812.987609863281,4.71999979019165,0.38323038816452,1086.2373046875,19.6299991607666,0.512036263942719,1382.02478027344,31.5900001525879,0.651466131210327
7,Doufelgou,TGO.2.4_1,1810.01940917969,29.0699996948242,0.288384318351746,2140.30786132813,21.5699996948242,0.341008067131042,1821.44897460938,3.48000001907349,0.290205359458923,2005.27319335938,3.01999998092651,0.319493442773819,1478.57214355469,2.9300000667572,0.235575944185257,1985.79223632813,2.51999998092651,0.316389620304108,979.481872558594,2.46000003814697,0.156057566404343,1533.14428710938,3.29999995231628,0.244270741939545,1520.5830078125,1.79999995231628,0.242269396781921,2111.18383789063,3.05999994277954,0.336367845535278,4468.59912109375,212.5,0.711966931819916,5959.65087890625,251.179992675781,0.949531197547913
8,Kéran,TGO.2.5_1,2878.65087890625,105.779998779297,0.356412678956985,2703.55737304688,17.0499992370605,0.334733933210373,2315.75366210938,11.1999998092651,0.286719024181366,2391.91015625,1.95000004768372,0.296148151159287,1719.09716796875,2.46000003814697,0.212845548987389,2256.69799804688,1.94000005722046,0.279407203197479,971.285278320313,2.67000007629395,0.120257161557674,2068.9833984375,4.19999980926514,0.25616580247879,1785.72485351563,2.03999996185303,0.221094876527786,2555.25366210938,2.14000010490417,0.316372096538544,5071.86083984375,90.8000030517578,0.627959251403809,6015.51513671875,251.139999389648,0.744795382022858
9,Kozah,TGO.2.6_1,2706.103515625,161.419998168945,0.531423687934875,3187.72290039063,14.4300003051758,0.626003921031952,2688.43310546875,12.9700002670288,0.527953565120697,2808.97143554688,14.3800001144409,0.551624834537506,2347.89721679688,15.8599996566772,0.461079239845276,2489.40576171875,9.82999992370605,0.488868653774261,1624.45092773438,16.3799991607666,0.319009095430374,2034.27734375,14.3999996185303,0.399490684270859,2157.4033203125,19.2600002288818,0.4236701130867,2772.58764648438,13.9899997711182,0.544479787349701,3571.34448242188,37.5099983215332,0.701339364051819,3841.47705078125,43.5099983215332,0.75438791513443
10,Golfe (incl Lomé),TGO.3.1_1,11720.1826171875,138.679992675781,8.27284622192383,11578.8203125,61.7099990844727,8.17306327819824,13061.2666015625,82.7600021362305,9.21946716308594,14109.263671875,109.410003662109,9.95921039581299,14381.1201171875,125.900001525879,10.1511039733887,13036.9072265625,85.5800018310547,9.20227336883545,14955.4873046875,144.199996948242,10.5565280914307,13569.5810546875,135.490005493164,9.57826805114746,12817.7890625,121.529998779297,9.04760551452637,13890.353515625,133.350006103516,9.80468940734863,15717.40625,104.120002746582,11.0943393707275,15231.7578125,119.73999786377,10.751537322998
11,Lacs,TGO.3.2_1,850.173522949219,12.6999998092651,0.260404914617538,1777.11779785156,10.9899997711182,0.544324457645416,1805.16223144531,10.0500001907349,0.552914381027222,2075.74560546875,16.3700008392334,0.635793030261993,1888.17980957031,16.2199993133545,0.578342318534851,1803.98400878906,19.5200004577637,0.552553474903107,1768.21325683594,18.5100002288818,0.541597008705139,1939.50207519531,13.210000038147,0.594062149524689,1932.0888671875,56.9700012207031,0.59179151058197,2532.05981445313,26.7299995422363,0.775560319423676,2329.13037109375,24.3700008392334,0.713403820991516,2364.78930664063,18.6700000762939,0.724326014518738
12,Vo,TGO.3.3_1,791.488708496094,9.80000019073486,0.225840479135513,1850.80651855469,7.17999982833862,0.528102338314056,1708.16345214844,8.03999996185303,0.487401068210602,2161.73657226563,9.59000015258789,0.616821944713593,1960.630859375,9.34000015258789,0.559439182281494,1759.05651855469,9.14999961853027,0.501922726631165,1642.75439453125,18.5100002288818,0.468737483024597,2129.68505859375,12.5900001525879,0.60767650604248,1823.77844238281,22.2199993133545,0.520390212535858,2447.5,16.9500007629395,0.698360621929169,2266.8896484375,11.6499996185303,0.646825969219208,2155.55883789063,11.8900003433228,0.615059196949005
13,Yoto,TGO.3.4_1,796.865234375,13,0.129153683781624,2238.23022460938,8.75,0.362766087055206,1741.68176269531,19.1900005340576,0.282286912202835,2606.95654296875,20.6299991607666,0.422528207302094,1913.2138671875,13.5799999237061,0.310088336467743,2049.33203125,22.0400009155273,0.332149982452393,1758.22839355469,17.2299995422363,0.284968733787537,2671.8740234375,16.7700004577637,0.433049857616425,2079.9541015625,15.0600004196167,0.33711314201355,2865.1396484375,16.5300006866455,0.464373797178268,2636.32885742188,22.9899997711182,0.427288800477982,2676.18090820313,21.9300003051758,0.433747887611389
14,Zio,TGO.3.5_1,3710.31982421875,10.6099996566772,0.245508790016174,7059.8193359375,10.1199998855591,0.467142373323441,6691.744140625,13.1800003051758,0.442787170410156,8538.6044921875,12.8199996948242,0.564992368221283,6790.21240234375,16.5200004577637,0.449302732944489,6899.7265625,12.5299997329712,0.456549167633057,6379.45849609375,14.5200004577637,0.422123461961746,8411.021484375,11.9200000762939,0.556550323963165,7215.0966796875,14.0600004196167,0.477416962385178,9651.2060546875,16.2600002288818,0.638612270355225,8925.689453125,21.5799999237061,0.590605437755585,9027.2421875,18.8299999237061,0.597325146198273
15,Amou,TGO.4.1_1,3116.28491210938,93.629997253418,0.369678914546967,3215.5087890625,20.9799995422363,0.381449639797211,2122.68334960938,4.8899998664856,0.251809865236282,2858.36157226563,4.90000009536743,0.339081972837448,1930.41906738281,4.07000017166138,0.2290019094944,2189.98315429688,3.79999995231628,0.259793519973755,1804.87365722656,3.25,0.21410870552063,2031.98229980469,3.76999998092651,0.24105016887188,2248.6953125,4.55000019073486,0.266758412122726,3186.98022460938,3.01999998092651,0.378065347671509,2955.70556640625,7.23000001907349,0.350629687309265,3266.05078125,42.3400001525879,0.387445360422134
16,Haho,TGO.4.2_1,1357.82775878906,11.3800001144409,0.0853709951043129,4747.505859375,4.78999996185303,0.298490941524506,3376.080078125,6.48000001907349,0.212264999747276,5361.09033203125,8.60999965667725,0.337068974971771,3576.59619140625,7.75,0.224872097373009,3834.57373046875,6.82000017166138,0.241091966629028,3279.80419921875,9.64999961853027,0.20621183514595,4414.42626953125,8.13000011444092,0.277549177408218,4289.408203125,4.67000007629395,0.269688874483109,6050.90625,6.67000007629395,0.380439907312393,5063.421875,8.77999973297119,0.318353593349457,5423.375,7.55999994277954,0.340985029935837
17,Kloto,TGO.4.3_1,4650.072265625,40.7999992370605,0.332210391759872,5067.41064453125,12.1999998092651,0.362025886774063,4291.48779296875,5.44999980926514,0.306592404842377,5514.73828125,7.51000022888184,0.393983870744705,3598.27099609375,7.3899998664856,0.257067620754242,3981.98608398438,5.38000011444092,0.28448098897934,3341.94921875,6.19999980926514,0.238755494356155,3239.10791015625,2.38000011444092,0.231408298015594,4444.64697265625,5.17000007629395,0.317534416913986,6874.853515625,8.30000019073486,0.491153180599213,5421.169921875,7.42000007629395,0.3872991502285,5596.552734375,8.6899995803833,0.399828851222992
18,Ogou,TGO.4.4_1,1794.58081054688,20.4200000762939,0.0564383901655674,10212.7392578125,5.98000001907349,0.321183979511261,7622.67626953125,7.28999996185303,0.239728182554245,10317.533203125,8.15999984741211,0.324479669332504,7531.57177734375,7.01000022888184,0.236863002181053,7860.34326171875,5.90000009536743,0.247202649712563,5191.11279296875,5.84000015258789,0.163257107138634,8451.7021484375,5.34999990463257,0.265800505876541,7988.265625,6.57999992370605,0.251225739717484,11747.8115234375,6.15999984741211,0.369460970163345,10327.16015625,6.6100001335144,0.324782431125641,10862.017578125,31.0699996948242,0.341603338718414
19,Wawa,TGO.4.5_1,2001.70385742188,31.3400001525879,0.177814617753029,4225.6630859375,31.2999992370605,0.375372558832169,2685.37475585938,2.26999998092651,0.238546222448349,3639.048828125,2.92000007629395,0.32326266169548,2460.96704101563,2.63000011444092,0.218611717224121,2788.06909179688,1.99000000953674,0.247668728232384,2295.8505859375,2.40000009536743,0.203944161534309,2747.6728515625,2.92000007629395,0.244080275297165,3032.00732421875,1.74000000953674,0.26933816075325,4079.7890625,2.33999991416931,0.362414330244064,3733.69311523438,3.1800000667572,0.331670045852661,3890.3984375,33.3499984741211,0.345590442419052
20,Oti,TGO.5.1_1,8875.5712890625,266.040008544922,0.447881102561951,10957.669921875,129.889999389648,0.552948415279388,5682.5576171875,4.40000009536743,0.28675451874733,5976.48974609375,2.20000004768372,0.301586985588074,4200.16552734375,2.23000001907349,0.211949706077576,5341.4189453125,2.60999989509583,0.269539892673492,2926.22338867188,3.63000011444092,0.147663742303848,5236.99462890625,3.55999994277954,0.264270424842834,4481.87255859375,2.75999999046326,0.226165264844894,6861.14697265625,3.58999991416931,0.346228748559952,6990.7890625,5.3600001335144,0.352770775556564,6315.18408203125,18.0200004577637,0.318678259849548
21,Tône,TGO.5.2_1,4446.31396484375,37.060001373291,0.205354616045952,8081.625,14.5900001525879,0.373252749443054,7561.076171875,12.710000038147,0.349211037158966,8648.8876953125,15.5600004196167,0.3994520008564,5621.57470703125,11.6000003814697,0.259634464979172,6722.63427734375,14.2799997329712,0.310487270355225,5398.48681640625,16.8099994659424,0.249331057071686,7325.71875,17.2800006866455,0.3383409678936,4803.0810546875,17.1900005340576,0.221832022070885,8590.736328125,15.6599998474121,0.396766245365143,11038.4990234375,82.2200012207031,0.509817063808441,9708.0830078125,69.1600036621094,0.448371320962906
