GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12
CMR.1_1,1,24.74304581,24.84357071,19.55657768,27.43420601,13064.32813,0,26.58612823,26.75963211,21.01618576,29.14127541,14037.47559,0,27.34909439,27.46662521,21.92281532,31.27277946,14440.32227,0,25.29071236,25.11181641,20.65957642,31.39490318,13353.49609,0,23.85155487,23.80134964,19.53883171,29.33024788,12593.62109,0,22.49328232,22.48915863,18.37991905,27.32822609,11876.45313,0,21.44963264,21.5693512,17.32443428,25.44878578,11325.40625,0,21.77325439,21.87710762,17.52948952,25.63088036,11496.27832,0,21.29684448,21.47702789,17.24419785,24.85620308,11244.7334,0,22.69938087,22.79647064,18.22910309,26.9186573,11985.27344,0,24.47618866,24.73785019,19.32672119,28.77068329,12923.42773,0,25.33179665,25.67737961,19.93886185,28.86133385,13375.18848
CMR.2_1,2,26.4488678,26.67519188,24.04263496,28.1760025,14679.12207,0,27.70198441,28.13004684,24.60942459,29.64227104,15374.60156,0,27.16882324,27.63337326,24.26472473,28.8720665,15078.69727,0,25.22032738,25.22698593,23.68071938,26.7412529,13997.28125,0,24.68038559,24.62608719,23.21289444,26.47583008,13697.61426,0,23.68416405,23.62816811,22.29988098,25.29242706,13144.71094,0,22.92409706,22.91327095,21.33553505,24.1985302,12722.87402,0,23.32866669,23.37801552,21.67617798,24.60702515,12947.41016,0,22.57369423,22.59308434,21.32262993,24.1601944,12528.40039,0,23.20964241,23.1193676,22.0682106,24.86061668,12881.35156,0,24.39075851,24.48476982,22.88952255,25.8032589,13536.87109,0,25.51249504,25.71863174,23.34930992,27.047472,14159.43457
CMR.3_1,3,26.4154129,26.30734634,25.16224098,28.24543571,23192.73242,0,27.57949066,27.50020599,25.82096863,29.53364182,24214.79297,0,26.9443531,26.83171082,25.35518074,28.65491867,23657.14258,0,25.46411324,25.34856796,24.46401405,27.03691292,22357.49219,0,24.76543617,24.59561157,23.49766922,26.69910431,21744.05273,0,23.82994843,23.75300217,22.31405067,25.46384048,20922.69531,0,23.14491844,23.1471138,21.37316322,24.68759918,20321.23828,0,23.89418221,23.95187378,21.9558754,25.58663559,20979.0918,0,23.06228828,23.07754517,21.47786331,24.62017822,20248.68945,0,23.17276192,23.09341431,22.32061577,24.53514671,20345.68555,0,24.48328781,24.42889404,23.50491524,25.6903553,21496.32617,0,25.57101631,25.53468323,24.3836441,27.1526947,22451.35156
CMR.4_1,4,23.16986656,23.47758102,20.16455078,24.91657829,6441.222656,0,25.57233429,25.96101761,21.85143471,27.76565552,7109.108887,0,31.37823105,31.82851982,27.32405663,32.85172272,8723.148438,0,34.13674927,34.4143486,29.87456131,35.47426987,9490.016602,0,33.22929382,33.53901672,28.27276611,34.96673584,9237.744141,0,31.10711288,31.07171249,26.1760273,34.08236313,8647.777344,0,27.62026596,27.54558563,23.46644592,30.25559998,7678.434082,0,25.50345612,25.70677376,22.30488014,27.24769402,7089.960938,0,26.25444412,26.16462326,22.7341938,29.37585258,7298.735352,0,28.05341339,27.97786522,24.34634972,31.1178093,7798.849121,0,26.85680962,27.04240036,23.2004776,28.46603584,7466.192871,0,26.13651848,26.21192932,23.36121941,27.77461815,7265.952148
CMR.5_1,5,26.57091141,26.86294746,21.63497543,28.45866203,4251.345703,1.840490798,27.20379066,27.5439682,22.57497025,29.05659103,4352.606445,1.840490798,26.57988358,26.9301281,21.61742973,28.2776413,4252.78125,1.840490798,25.6366024,25.93836594,20.8560276,27.32236862,4101.856445,1.840490798,25.29096603,25.63480377,20.57357979,26.97319603,4046.554688,1.840490798,24.24760056,24.55098152,19.74125099,25.85921288,3879.615967,1.840490798,23.22131348,23.565979,18.74638939,24.68585205,3715.410156,1.840490798,23.64560509,23.95707703,19.09769249,25.18002701,3783.296875,1.840490798,23.23263168,23.52230072,18.926157,24.83385086,3717.221191,1.840490798,24.01230621,24.37735748,19.47269058,25.51801682,3841.968994,1.840490798,24.86818123,25.19430923,19.98626137,26.42073631,3978.908936,1.840490798,25.36110306,25.68909836,20.42312622,27.04147148,4057.776367
CMR.6_1,6,23.30314636,23.44769096,18.90987206,28.1100502,3285.743652,0,24.77132797,24.91232491,20.19805145,29.89359283,3492.757324,0,24.6451683,24.78079414,20.19122124,30.59582329,3474.96875,0,22.85143661,22.84275055,18.41385651,29.23555756,3222.05249,0,21.90471649,21.87170792,17.73986244,27.49130058,3088.564941,0,20.85248756,20.90502357,16.91123772,25.96878433,2940.200684,0,19.7978878,19.86994362,15.96537209,24.59077072,2791.502197,0,20.26969719,20.33742905,16.2714138,25.10548782,2858.027344,0,19.62761307,19.664217,15.86508274,24.04333305,2767.493408,0,20.68725967,20.8000927,16.68423843,25.38084793,2916.903564,0,22.11006546,22.07569885,17.67977524,26.99938965,3117.519287,0,22.93003654,22.88447189,18.64151764,28.33481216,3233.135254
CMR.7_1,7,25.21075821,25.34488869,21.496418,27.1689682,13386.91309,0,27.46606827,27.68606377,23.32795334,29.65073967,14584.48242,0,31.32824326,31.7584343,24.84433556,33.90516663,16635.29688,0,32.29851532,32.93041611,23.75432014,35.16637802,17150.51172,0,30.00582314,30.326931,21.53362656,33.54032898,15933.0918,0,27.95015717,28.41888618,20.26517677,30.92975044,14841.5332,0,25.33470535,25.63272285,18.98505592,28.43078041,13452.72852,0,25.02911758,25.35363579,19.21648598,27.4251461,13290.46191,0,24.76818085,25.08558846,19.05980301,27.05873299,13151.9043,0,26.6975193,26.92186737,20.31097412,29.70509148,14176.38281,0,27.8746109,28.11593437,21.52845955,30.63492584,14801.41797,0,27.92330933,28.12010193,22.62067986,30.29386902,14827.27734
CMR.8_1,8,24.62941933,24.65597916,19.47958374,27.62088776,2709.236084,0,25.86801529,25.85549927,20.52702522,29.17378616,2845.481689,0,25.41671944,25.67774773,19.50043678,28.88155174,2795.839111,0,23.25945282,23.5434761,18.15863228,25.92560005,2558.539795,0,22.47628784,22.59656906,17.66747856,25.02534103,2472.391602,0,21.53945732,21.70409775,16.85220718,23.95977783,2369.340332,0,20.58149719,20.700737,16.01340294,23.07641029,2263.9646,0,21.00639343,21.12602615,16.24770164,23.58939743,2310.703369,0,20.43553352,20.61773682,16.00366211,22.62539482,2247.908691,0,21.21967125,21.2906456,16.59945107,23.6369648,2334.163818,0,22.32460022,22.40494537,17.30819321,24.89262581,2455.706055,0,23.58383369,23.70780373,18.35879898,26.34614182,2594.22168
CMR.9_1,9,26.37957573,26.82646942,19.18136215,29.01201248,5275.915039,0.497512438,27.50158119,27.86559105,19.96395874,30.4734745,5500.316406,0.497512438,26.39674568,26.79283142,20.001091,29.02665329,5279.349121,0.497512438,25.16921616,25.42081451,19.58010292,27.56253433,5033.843262,0.497512438,24.68093109,24.96416855,19.29477501,27.1743679,4936.186035,0.497512438,23.64125061,23.95558167,18.21033478,25.95935631,4728.25,0.497512438,22.62486839,23.00142288,16.97096443,24.77293777,4524.973633,0.497512438,23.1352253,23.536129,17.29866219,25.29911804,4627.044922,0.497512438,22.70335388,23.04179001,17.2183342,24.90209007,4540.670898,0.497512438,23.45715141,23.70549774,18.15969276,25.68374062,4691.430176,0.497512438,24.43160248,24.63809967,18.73311234,26.9850502,4886.320313,0.497512438,25.02223587,25.37882614,19.15952492,27.87717819,5004.447266
CMR.10_1,10,25.12233543,25.12582207,23.66049004,27.27216911,9822.833008,0,25.57478905,25.66174126,23.85757256,27.50577164,9999.742188,0,25.29163551,25.22543526,24.03795433,27.44064331,9889.029297,0,24.73079681,24.62373734,23.63526344,26.97821426,9669.741211,0,24.23908806,24.1169796,23.13705826,26.62526131,9477.483398,0,23.63418579,23.57216644,22.38939285,25.54667473,9240.966797,0,22.97203255,22.96574211,21.55935287,24.51982689,8982.064453,0,23.41013336,23.486763,21.68930435,24.7569313,9153.362305,0,22.92705727,22.88104057,21.59806824,24.65068436,8964.479492,0,23.15047264,23.01014519,22.15258026,25.2063942,9051.834961,0,23.77196884,23.63782501,22.63022041,25.90735817,9294.839844,0,24.37177277,24.42866516,22.8401165,26.30745316,9529.363281
