year,month,month2,Region,GID_0,NAME_0,GID_1,NAME_1,predChange
2018,1,1,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8920
2018,2,2,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8038
2018,3,3,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9224
2018,4,4,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9291
2018,5,5,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8402
2018,6,6,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.5648
2018,7,7,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1843
2018,8,8,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1641
2018,9,9,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0148
2018,10,10,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9480
2018,11,11,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9852
2018,12,12,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8701
2019,1,13,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8819
2019,2,14,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9592
2019,3,15,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0531
2019,4,16,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0469
2019,5,17,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9766
2019,6,18,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.7690
2019,7,19,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.2487
2019,8,20,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.3144
2019,9,21,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9953
2019,10,22,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1388
2019,11,23,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0533
2019,12,24,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0149
2018,1,1,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9241
2018,2,2,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.8730
2018,3,3,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9678
2018,4,4,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0379
2018,5,5,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9248
2018,6,6,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.6801
2018,7,7,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.3106
2018,8,8,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.3373
2018,9,9,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0595
2018,10,10,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0189
2018,11,11,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0725
2018,12,12,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9936
2019,1,13,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9364
2019,2,14,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0245
2019,3,15,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1639
2019,4,16,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1586
2019,5,17,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0684
2019,6,18,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.7936
2019,7,19,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.4141
2019,8,20,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.5269
2019,9,21,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1281
2019,10,22,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1685
2019,11,23,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0820
2019,12,24,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0586
2018,1,1,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6542
2018,2,2,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6088
2018,3,3,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6996
2018,4,4,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7019
2018,5,5,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6289
2018,6,6,Northern,DZA,Algeria,DZA.4_1,Alger, 0.4018
2018,7,7,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8566
2018,8,8,Northern,DZA,Algeria,DZA.4_1,Alger, 0.9080
2018,9,9,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7748
2018,10,10,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7255
2018,11,11,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7500
2018,12,12,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6543
2019,1,13,Northern,DZA,Algeria,DZA.4_1,Alger, 0.6556
2019,2,14,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7493
2019,3,15,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8225
2019,4,16,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8409
2019,5,17,Northern,DZA,Algeria,DZA.4_1,Alger, 0.7696
2019,6,18,Northern,DZA,Algeria,DZA.4_1,Alger, 0.5184
2019,7,19,Northern,DZA,Algeria,DZA.4_1,Alger, 1.0589
2019,8,20,Northern,DZA,Algeria,DZA.4_1,Alger, 1.0604
2019,9,21,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8221
2019,10,22,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8945
2019,11,23,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8772
2019,12,24,Northern,DZA,Algeria,DZA.4_1,Alger, 0.8160
2018,1,1,Northern,DZA,Algeria,DZA.5_1,Annaba, 0.8684
