GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
CIV.1_1,5322382.393779999,5050696.647249999,0.94895410994
CIV.2_1,2603383.81781,439057.808945,0.168648896848
CIV.3_1,1354387.1819099998,265612.2268070001,0.196112478289
CIV.4_1,333077.1221180001,27511.777809099996,0.0825988216607
CIV.5_1,1842013.09599,364117.640656,0.197673752401
CIV.6_1,1424571.12244,150335.040245,0.105530034883
CIV.7_1,1563525.4350299998,246301.901707,0.157529833662
CIV.8_1,2777475.3282800005,383840.95586399996,0.138197791338
CIV.9_1,2681931.62312,519704.7941210001,0.193780031393
CIV.10_1,1915476.17447,421124.573278,0.219853725612
CIV.11_1,1560815.37276,592847.4000429999,0.379831856086
CIV.12_1,996207.8732530001,89713.46862789999,0.0900549684826
CIV.13_1,396855.17921400006,179792.530174,0.453043174415
CIV.14_1,1035106.1974899999,103272.127528,0.0997695963742
