GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
UGA.1_1,241305.25505400004,19827.8566971,0.0821691872921
UGA.2_1,1133698.9747799998,44847.6257801,0.039558671903
UGA.3_1,1327249.3850399998,235505.42810100003,0.17743871706099998
UGA.4_1,681644.3816399999,38331.8177185,0.0562343338418
UGA.5_1,315003.304025,35380.9584503,0.112319324903
UGA.6_1,939894.167627,60197.8242416,0.0640474495055
UGA.7_1,363141.84870100004,75171.9362488,0.207004333204
UGA.8_1,915136.455727,112190.021601,0.12259376282
UGA.9_1,675477.0895750001,56735.6197357,0.0839934034941
UGA.10_1,1115995.29518,186164.868027,0.166815101131
UGA.11_1,498807.49392700003,191029.26203900005,0.382971916751
UGA.12_1,574793.4779310001,63529.53868099999,0.110525851667
UGA.13_1,520566.645679,61850.00761409999,0.118812851587
UGA.14_1,255838.34337400005,7355.054237369999,0.0287488346757
UGA.15_1,52601.0899129,0.0,0.0
UGA.16_1,1624623.26507,1620322.8525400003,0.997352978612
UGA.17_1,1188025.0082200002,90295.17601010001,0.0760044404666
UGA.18_1,485875.633112,26352.763908400004,0.0542376734137
UGA.19_1,269313.371345,14325.332271599998,0.0531920572679
UGA.20_1,332366.046375,23282.8559341,0.0700518485207
UGA.21_1,762271.2107949998,139786.14320499994,0.183381113212
UGA.22_1,494146.436184,15801.507055299995,0.0319773773486
UGA.23_1,394600.32009,43150.1645508,0.109351570067
UGA.24_1,980466.806709,33036.843399000005,0.033695014632799995
UGA.25_1,422340.005566,21757.531868000005,0.0515166254233
UGA.26_1,308656.17005300004,37260.00585940001,0.120716867098
UGA.27_1,360229.45644199994,35853.0853748,0.09952846646389997
UGA.28_1,493407.969941,11441.732545899995,0.0231891928038
UGA.29_1,671332.930154,26328.012329099998,0.0392175195742
UGA.30_1,870041.0915639999,35163.612373400014,0.0404160363394
UGA.31_1,9226.12788886,1549.22974396,0.16791765328000002
UGA.32_1,113149.332633,13058.424102300005,0.115408759366
UGA.33_1,1191877.08494,131731.552737,0.11052444451
UGA.34_1,723660.1828089998,130598.980952,0.180470038361
UGA.35_1,963906.0991270001,154679.70475799998,0.16047175642699998
UGA.36_1,763773.361567,52427.4832249,0.06864272291109999
UGA.37_1,531760.8524069999,61366.4887085,0.115402419021
UGA.38_1,1206965.03585,239075.802338,0.198080139223
UGA.39_1,1738481.2327599998,199433.45901500003,0.114717061799
UGA.40_1,283942.00028199994,6155.053799630001,0.021677151649
UGA.41_1,124559.360787,9735.62615204,0.0781605339858
UGA.42_1,556665.1745569999,49298.5811768,0.08856056284830001
UGA.43_1,1164570.23565,129219.606369,0.110959049453
UGA.44_1,1239893.8383900002,324616.619282,0.26181001085
UGA.45_1,334261.152148,4688.97307205,0.014027873242
UGA.46_1,204511.66801900003,10871.366523700002,0.0531576835151
UGA.47_1,710094.665721,54643.2113495,0.07695200934089999
UGA.48_1,536731.9508300001,42284.4899139,0.07878139143480001
UGA.49_1,442144.8818750001,21610.094684599997,0.0488755961461
UGA.50_1,916748.835253,56856.5108795,0.0620197252433
UGA.51_1,672933.6590240003,50432.944431300006,0.0749448979925
UGA.52_1,335315.239704,26604.7100601,0.0793423826593
UGA.53_1,280827.907246,14056.162231400001,0.0500525833392
UGA.54_1,481144.7929130001,74868.78128049997,0.155605510822
UGA.55_1,675729.510012,71749.89527889999,0.10618138502999999
UGA.56_1,867576.622208,69458.70381159999,0.0800605987225
UGA.57_1,2595234.0341900005,1907748.31656,0.7350968318950001
UGA.58_1,599612.8781699998,61896.4352875,0.103227328066
