GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
NAM.1_1,83027.84132179998,24252.0082028,0.292094890301
NAM.2_1,192961.105343,130053.305079,0.673987148072
NAM.3_1,89025.0625367,34139.4788132,0.383481660562
NAM.4_1,233149.09929899996,56225.837570200005,0.241158287719
NAM.5_1,425958.9571950001,381794.439803,0.8963174347059999
NAM.6_1,100878.301918,11105.832885700001,0.110091394032
NAM.7_1,256411.23820500003,5951.379638670001,0.0232102917186
NAM.8_1,74377.4689492,14680.208419799998,0.197374401512
NAM.9_1,253808.12304299997,3391.82537842,0.013363738472
NAM.10_1,188441.32033900003,65703.9672241,0.34867070081
NAM.11_1,200391.106796,25699.197876,0.128245201531
NAM.12_1,153453.621949,69686.04129030001,0.454117930911
NAM.13_1,100200.462303,29732.96713260001,0.296734829852
