GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
GHA.1_1,6348365.3086,3857601.6244700006,0.607652747904
GHA.2_1,2758262.7200599997,405098.686687,0.146867332013
GHA.3_1,2857197.8798,970044.2711639999,0.339508956668
GHA.4_1,3156329.37146,728784.888321,0.230896336393
GHA.5_1,5089631.383029999,4532326.11107,0.890501839914
GHA.6_1,3229508.20308,363525.563604,0.112563752976
GHA.7_1,1148872.02023,111394.51819599998,0.0969599017423
GHA.8_1,817695.203217,59667.81846619999,0.0729707331429
GHA.9_1,2660238.2004299997,487949.03579700005,0.183423061784
GHA.10_1,2910890.7087,914953.222248,0.314320705863
